fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221028 215747	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5198	1	1	1	0.1	50	0.5	FALSE	100019	0.00531498347916682	0.57817317376571	5880	1557	0.0172291277162532	13518	19844000	45
20221028 231643	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5489	1	1	1	0.1	50	0.5	FALSE	100019	0.00516663944226189	0.506046088609775	6810	1478	0.0183836167595133	13810	19660000	46
20221028 233403	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4149	1	1	1	0.1	50	0.5	FALSE	100019	0.00712038979076905	0.492013844763138	6385	1495	0.0216521206911139	11976	21248000	47
20221028 234310	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2780	1	1	1	0.1	50	0.5	FALSE	100019	0.00847243186177381	0.503445003745437	6385	1701	0.0208569935040716	13261	20518000	48
20221028 235019	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2246	1	1	1	0.1	50	0.5	FALSE	100019	0.0115467517803775	0.477495717122895	6414	1291	0.0185439976553644	13826	19228000	49
20221028 235916	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1518	1	1	1	0.1	50	0.5	FALSE	100019	0.0308710495701884	0.536941686495021	6375	1536	0.00996212138174649	14232	18176000	50
20221029 001226	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4343	1	1	1	0.1	50	0.5	FALSE	100019	0.00794152090340623	0.475305926788063	5751	1538	0.0149167871060642	13160	19920000	51
20221029 002515	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3773	1	1	1	0.1	50	0.5	FALSE	100019	0.00635872490595258	0.493213912515168	4556	1615	0.017716209003693	12831	20098000	52
20221029 003700	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3801	1	1	1	0.1	50	0.5	FALSE	100019	0.00725469366686927	0.491023022158188	6707	1803	0.0214837975391874	12550	20420000	53
20221029 004640	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2945	1	1	1	0.1	50	0.5	FALSE	100019	0.00704311755945341	0.725847378604277	4538	1610	0.0193623840045595	12774	20132000	54
