fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 020107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	279	TRUE	111119	0.0663900543515542	0.442436603877459	4885	649	9667	26670000	54
20221002 020145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	111119	0.0360338429622496	0.374440379753943	4768	688	9810	26380000	55
20221002 020230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	311	TRUE	111119	0.0527068110740554	0.386248516460926	4927	853	9768	26710000	56
20221002 020256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	111119	0.0890794394437511	0.497046673052443	5151	737	9838	26250000	57
20221002 020312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	111119	0.0893147575831324	0.586937894802391	6174	747	5202	23920000	58
20221002 020334	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	111119	0.123994698958474	0.601965309980616	6424	723	9749	26670000	59
20221002 020358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	111119	0.096866759395375	0.410126261448073	4500	687	10046	26230000	60
20221002 020444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	250	TRUE	111119	0.0291382826682539	0.562150911261944	5735	749	9770	26380000	61
20221002 020502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	111119	0.103865880698153	0.558111273112914	6178	663	9465	26830000	62
20221002 020525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	111119	0.13843033560864	0.423120471031219	6146	637	9704	26920000	63
20221002 020549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	111119	0.121926629516169	0.416459627953719	4933	619	9716	26170000	64
20221002 020608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	111119	0.155503204163046	0.442435411325232	6263	745	9666	26590000	65
20221002 020625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	111119	0.100986801480943	0.596145958382206	6391	921	9695	27010000	66
20221002 020648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	111119	0.134664327408489	0.513178085124123	4914	841	8552	26100000	67
20221002 020704	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	111119	0.145331924677235	0.377308540838512	5938	680	9377	26530000	68
20221002 020728	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	111119	0.0985155258676859	0.567767467243259	6370	722	9702	26680000	69
20221002 020802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	111119	0.0404271280600337	0.471388559346402	4834	673	9151	26420000	70
20221002 020953	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	927	TRUE	111119	0.0173927197831239	0.625208200013952	5985	638	9343	27160000	71
20221002 021029	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	238	TRUE	111119	0.0373253723673353	0.690376073904215	6191	633	9771	27180000	72
20221002 021044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	111119	0.179283017805265	0.381170944634362	5015	724	10647	25830000	73
20221002 021059	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	111119	0.100669845072209	0.78094372323529	6407	741	9942	26360000	74
20221002 021136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	216	TRUE	111119	0.0449343117868636	0.664029959657613	6005	600	9687	27270000	75
20221002 021341	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	819	TRUE	111119	0.00890988696577248	0.68263219986374	5354	604	9771	26700000	76
20221002 021422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	277	TRUE	111119	0.0347898894297548	0.643559781354759	5984	601	9429	26910000	77
20221002 021444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	111119	0.0913833300855623	0.708236362734472	6118	600	10290	26540000	78
20221002 021534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	312	TRUE	111119	0.0599828074989727	0.533055867971971	6360	638	9657	27490000	79
20221002 021550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	111119	0.136092369788049	0.58615238758527	5097	699	9592	26660000	80
20221002 021629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	228	TRUE	111119	0.0392609093140955	0.399373229587602	5958	727	10129	26470000	81
20221002 021653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	111119	0.0732516209266133	0.585327145003411	6088	637	9413	27020000	82
20221002 021814	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	559	TRUE	111119	0.0388330979257323	0.460875406484455	6451	640	9909	27630000	83
20221002 021912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	427	TRUE	111119	0.044944793261544	0.543192748537985	6483	642	10067	26990000	84
20221002 021932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	111119	0.120096636842333	0.691552919481895	6207	927	9057	27090000	85
20221002 022039	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	497	TRUE	111119	0.0328385114504275	0.428966132403531	6418	637	9616	27090000	86
20221002 022105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167	TRUE	111119	0.108768996901704	0.608643695341574	5460	909	9113	26820000	87
20221002 022121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	111119	0.184774360249314	0.652234091158991	4967	928	9452	26620000	88
20221002 022143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	111119	0.0955467064097072	0.561401774704379	6249	932	8883	27440000	89
20221002 022306	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	612	TRUE	111119	0.0272183011841088	0.581716462744982	5949	933	9242	27120000	90
20221002 022327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	111119	0.161743742505933	0.538707093558494	6391	928	9127	26870000	91
20221002 022358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	188	TRUE	111119	0.0700702787364745	0.25977713197582	5761	931	8143	26360000	92
20221002 022509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	469	TRUE	111119	0.022691088844448	0.60898983333482	5693	927	8708	27150000	93
20221002 022532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	111119	0.0722146432950824	0.603683549751669	5942	947	8825	26830000	94
20221002 022604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	185	TRUE	111119	0.0715731890675178	0.490100605234725	6258	920	8703	2.7e+07	95
20221002 022703	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	425	TRUE	111119	0.030178702140471	0.616928693873951	6365	640	9710	26820000	96
20221002 022741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	251	TRUE	111119	0.0595702210690908	0.470424212734576	6123	640	10941	26360000	97
20221002 022859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477	TRUE	111119	0.018345765159967	0.455369297044899	6497	638	8340	26600000	98
20221002 022936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	238	TRUE	111119	0.0717005075115391	0.480784249463712	6453	641	9650	27020000	99
20221002 022954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	111119	0.124596316624061	0.691601612814737	6028	635	9282	27360000	100
20221002 023008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	111119	0.141233623444509	0.717478568753229	5809	931	8216	25970000	101
20221002 023021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	111119	0.135926896227538	0.701962997198536	6283	600	9631	27060000	102
20221002 023037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	111119	0.11518287729544	0.667695483876013	5887	636	8807	26950000	103
20221002 023103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	111119	0.0702522479278565	0.556939100844204	6007	924	8526	26870000	104
20221002 023136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	234	TRUE	111119	0.0832161057547615	0.616816792666691	6493	925	8913	27380000	105
20221002 023231	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	429	TRUE	111119	0.0388018188880823	0.707131500606413	5201	638	9158	27290000	106
20221002 023255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	111119	0.0867420907706873	0.756998562258121	5989	633	9370	26060000	107
20221002 023455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1016	TRUE	111119	0.0179403965184665	0.656688887448981	6421	928	9114	27140000	108
20221002 023608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	413	TRUE	111119	0.0231160102017782	0.535288043783524	5836	638	9394	26740000	109
20221002 023632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	98	TRUE	111119	0.0607813726237416	0.599581643186117	6496	638	7386	26910000	110
20221002 023658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	111119	0.0793224001789	0.605325512003723	6496	990	10671	26660000	111
20221002 023726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	111119	0.0846066510063024	0.551026588323457	6433	939	8653	27260000	112
20221002 023930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	792	TRUE	111119	0.0152640310138629	0.564231251854395	5977	1022	8144	2.7e+07	113
20221002 024009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	240	TRUE	111119	0.0562829593380127	0.585753665946069	6444	600	9615	27330000	114
20221002 024029	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	111119	0.0904350298127806	0.6379312120503	6050	932	8552	26580000	115
20221002 024113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	233	TRUE	111119	0.0392683790415364	0.475511163049564	6464	636	7686	27270000	116
20221002 024146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164	TRUE	111119	0.115671822152418	0.554241119319852	6136	930	8640	26720000	117
20221002 024212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	81	TRUE	111119	0.145740062636008	0.577691009478816	5234	638	6238	24890000	118
20221002 024313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	111119	0.0587302641882025	0.579369460563318	6498	708	9229	26990000	119
20221002 024514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	632	TRUE	111119	0.0391928653024163	0.53216305389733	6369	610	13264	25400000	120
